"Season" "Team" "Player" "Position" "Matches" "Goals"
"1927" "2004-05" "Barcelona" "Juliano Haus Belletti" "Midfielder" 21 0
"1928" "2004-05" "Barcelona" "Giovanni Van Bronckhorst" "Midfielder" 21 4
"1929" "2004-05" "Barcelona" "Carles Puyol Saforcada" "Defender" 33 0
"1930" "2004-05" "Barcelona" "Oleguer Presas Renom" "Defender" 28 1
"1931" "2004-05" "Barcelona" "Rafael M†rquez µlvarez" "Defender" 25 3
"1932" "2004-05" "Barcelona" "Xavier Hern†ndez Creus" "Midfielder" 30 3
"1933" "2004-05" "Barcelona" "Anderson Luis De Souza" "Midfielder" 29 7
"1934" "2004-05" "Barcelona" "Samuel Eto'o Fils" "Forward" 26 25
"1935" "2004-05" "Barcelona" "Ronaldo De Assis Moreira" "Forward" 29 9
"1936" "2004-05" "Barcelona" "Ludovic Giuly" "Forward" 10 11
"1937" "2004-05" "Barcelona" "AndrÇs Iniesta Luj†n" "Midfielder" 10 2
"1938" "2004-05" "Barcelona" "Silvio Mendes De Campos Junior" "Midfielder" 9 0
"1939" "2004-05" "Barcelona" "Henrik Larsson" "Forward" 4 3
"1941" "2004-05" "Barcelona" "DamiÖ Abella PÇrez" "Midfielder" 2 0
"1942" "2004-05" "Barcelona" "Fernando Navarro Corbacho" "Midfielder" 2 0
"1943" "2004-05" "Barcelona" "Thiago Motta" "Midfielder" 1 0
"1945" "2004-05" "Barcelona" "JosÇ Edmilson Gomes Moraes" "Midfielder" 3 0
"1947" "2004-05" "Barcelona" "Demetrio Albertini" "Midfielder" 1 0
"1948" "2004-05" "Barcelona" "Gabriel Garcia De la Torre" "Midfielder" 1 0
"1950" "2004-05" "Real Madrid" "Miguel µngel Salgado Fern†ndez" "Midfielder" 27 2
"1951" "2004-05" "Real Madrid" "Roberto Carlos Da Silva Rocha" "Midfielder" 33 3
"1952" "2004-05" "Real Madrid" "Iv†n Helguera Buj°a" "Defender" 30 3
"1953" "2004-05" "Real Madrid" "Walter Adri†n Samuel" "Defender" 27 2
"1954" "2004-05" "Real Madrid" "David Robert Joseph Beckham" "Midfielder" 19 4
"1955" "2004-05" "Real Madrid" "Zinedine Yazid Zidane" "Midfielder" 16 6
"1956" "2004-05" "Real Madrid" "Luis Filipe Madeira Caeiro Figo" "Midfielder" 15 3
"1957" "2004-05" "Real Madrid" "Ronaldo Luiz Nazario De Lima" "Forward" 18 21
"1958" "2004-05" "Real Madrid" "Ra£l Gonz†lez Blanco" "Forward" 14 9
"1959" "2004-05" "Real Madrid" "Michael James Owen" "Forward" 7 13
"1960" "2004-05" "Real Madrid" "JosÇ Mar°a GutiÇrrez Hern†ndez" "Midfielder" 16 0
"1961" "2004-05" "Real Madrid" "Santiago Hern†n Solari Poggio" "Midfielder" 5 3
"1962" "2004-05" "Real Madrid" "Francisco Pav¢n Barahona" "Defender" 12 0
"1963" "2004-05" "Real Madrid" "Albert Celades L¢pez" "Midfielder" 7 0
"1964" "2004-05" "Real Madrid" "Thomas Gravesen" "Midfielder" 11 1
"1965" "2004-05" "Real Madrid" "Ra£l Bravo SanfÇlix" "Midfielder" 9 0
"1968" "2004-05" "Real Madrid" "µlvaro Mej°a PÇrez" "Defender" 1 0
"1971" "2004-05" "Real Madrid" "µlvaro Arbeloa Coca" "Defender" 1 0
"1975" "2004-05" "Villarreal" "Javier Rodr°guez Venta" "Midfielder" 30 0
"1976" "2004-05" "Villarreal" "Rodolfo Mart°n Arruabarrena" "Midfielder" 20 0
"1977" "2004-05" "Villarreal" "Enrique µlvarez Sanju†n" "Defender" 22 0
"1978" "2004-05" "Villarreal" "Gonzalo Javier Rodr°guez Prado" "Defender" 33 2
"1979" "2004-05" "Villarreal" "Juan Pablo Sor°n" "Midfielder" 12 4
"1980" "2004-05" "Villarreal" "Juan Rom†n Riquelme" "Midfielder" 28 15
"1981" "2004-05" "Villarreal" "JosÇ Joaqu°n Moreno Verd£" "Midfielder" 16 1
"1982" "2004-05" "Villarreal" "Marcos Antonio Senna Da Silva" "Midfielder" 25 2
"1983" "2004-05" "Villarreal" "Diego Mart°n Forl†n Corazo" "Forward" 22 25
"1984" "2004-05" "Villarreal" "JosÇ Mar°a Romero Poy¢n" "Forward" 4 4
"1985" "2004-05" "Villarreal" "HÇctor Font Romero" "Midfielder" 7 2
"1986" "2004-05" "Villarreal" "Juan Manuel Pe§a Montano" "Defender" 15 1
"1987" "2004-05" "Villarreal" "Santiago Cazorla Gonz†lez" "Midfielder" 3 2
"1989" "2004-05" "Villarreal" "Armando Miguel Correia De S†" "Midfielder" 14 0
"1990" "2004-05" "Villarreal" "Sebasti†n Alejandro Battaglia" "Midfielder" 8 0
"1991" "2004-05" "Villarreal" "Luciano Gabriel Figueroa" "Forward" 4 2
"1992" "2004-05" "Villarreal" "CÇsar Arzo Amposta" "Defender" 2 1
"1994" "2004-05" "Villarreal" "Anderson Da Silva Dit" "Forward" 1 1
"1995" "2004-05" "Villarreal" "Carlos Alc†ntara Cuevas" "Midfielder" 1 0
"1999" "2004-05" "Betis" "Juan GutiÇrrez Moreno" "Defender" 30 4
"2000" "2004-05" "Betis" "David Rivas Rodr°guez" "Defender" 30 4
"2001" "2004-05" "Betis" "Juan Alberto Andreu Alvarado" "Defender" 28 1
"2002" "2004-05" "Betis" "Marcos Santos Assunáao" "Midfielder" 20 8
"2003" "2004-05" "Betis" "Arturo Garc°a Mu§oz" "Midfielder" 12 0
