date;cas;total;contact;importe;communautaire
02/03/2020;1;1;0;0;0
03/03/2020;1;2;0;1;0
04/03/2020;2;4;1;1;0
05/03/2020;0;4;0;0;0
06/03/2020;0;4;0;0;0
07/03/2020;0;4;0;0;0
08/03/2020;0;4;0;0;0
09/03/2020;0;4;0;0;0
10/03/2020;0;4;0;0;0
11/03/2020;0;4;0;1;0
12/03/2020;0;4;5;0;0
13/03/2020;6;10;11;0;0
14/03/2020;0;10;1;2;0
15/03/2020;14;24;1;1;0
16/03/2020;0;24;0;1;0
17/03/2020;2;26;1;3;0
18/03/2020;5;31;2;3;0
19/03/2020;0;31;0;2;0
20/03/2020;7;38;5;4;0
21/03/2020;9;47;1;5;3
22/03/2020;20;67;5;6;0
23/03/2020;12;79;2;6;4
24/03/2020;7;86;4;3;0
25/03/2020;13;99;8;5;0
26/03/2020;6;105;1;6;0
27/03/2020;14;119;2;11;1
28/03/2020;11;130;8;2;1
29/03/2020;12;142;8;4;0
30/03/2020;20;162;14;5;1
31/03/2020;13;175;12;1;0
01/04/2020;15;190;14;1;0
02/04/2020;5;195;3;2;0
03/04/2020;12;207;5;7;0
04/04/2020;12;219;10;1;1
05/04/2020;3;222;0;2;1
06/04/2020;4;226;3;0;1
07/04/2020;11;237;9;0;2
08/04/2020;7;244;2;0;5
09/04/2020;6;250;6;0;0
10/04/2020;15;265;15;0;0
11/04/2020;13;278;12;0;1
12/04/2020;2;280;1;0;1
13/04/2020;11;291;10;0;1
14/04/2020;8;299;6;0;2
15/04/2020;15;314;14;0;1
16/04/2020;21;335;19;0;2
17/04/2020;7;342;5;0;2
18/04/2020;8;350;3;0;5
19/04/2020;17;367;15;0;2
20/04/2020;10;377;5;0;5
21/04/2020;35;412;34;0;1
22/04/2020;30;442;26;0;4
23/04/2020;37;479;29;0;8
24/04/2020;66;545;61;0;5
25/04/2020;69;614;63;0;6
26/04/2020;57;671;47;1;9
27/04/2020;65;736;50;0;14
28/04/2020;87;823;86;0;1
29/04/2020;59;882;51;0;8
30/04/2020;51;933;40;0;11
01/05/2020;91;1024;88;0;3
02/05/2020;91;1115;87;0;4
03/05/2020;67;1182;62;0;5
04/05/2020;89;1271;86;0;3
05/05/2020;58;1329;54;0;4
06/05/2020;104;1433;100;0;4
07/05/2020;59;1492;51;0;8
08/05/2020;59;1551;52;0;7
09/05/2020;83;1634;69;0;14
10/05/2020;75;1709;70;0;5
11/05/2020;177;1886;169;0;8
12/05/2020;109;1995;107;0;2
13/05/2020;110;2105;102;0;8
14/05/2020;84;2189;73;0;11
15/05/2020;121;2310;119;0;2
16/05/2020;119;2429;108;0;11
17/05/2020;51;2480;47;0;4
18/05/2020;64;2544;59;0;5
19/05/2020;73;2617;68;0;5
20/05/2020;97;2714;83;0;14
21/05/2020;98;2812;92;0;6
22/05/2020;97;2909;83;0;14
23/05/2020;67;2976;49;2;16
24/05/2020;71;3047;66;1;4
25/05/2020;83;3130;79;0;4
26/05/2020;31;3161;28;0;3
27/05/2020;92;3253;80;0;12
28/05/2020;95;3348;86;0;9
29/05/2020;81;3429;66;2;13
30/05/2020;106;3535;94;0;12
31/05/2020;110;3645;98;0;12
01/06/2020;94;3739;84;0;10
02/06/2020;97;3836;77;0;20
03/06/2020;96;3932;80;0;16
04/06/2020;89;4021;74;0;15
05/06/2020;134;4155;104;0;30
06/06/2020;94;4249;87;4;3
07/06/2020;79;4328;68;0;11
08/06/2020;99;4427;88;2;9
09/06/2020;89;4516;71;1;17
10/06/2020;124;4640;109;0;15
11/06/2020;119;4759;102;0;17
12/06/2020;92;4851;74;0;18
13/06/2020;145;4996;99;27;19
14/06/2020;94;5090;79;1;14
15/06/2020;83;5173;64;0;19
16/06/2020;74;5247;64;0;10
17/06/2020;122;5369;111;0;11
18/06/2020;106;5475;93;0;13
19/06/2020;164;5639;148;0;16
20/06/2020;144;5783;123;1;20
21/06/2020;105;5888;94;0;1
22/06/2020;82;5970;65;4;13
23/06/2020;64;6034;51;0;13
24/06/2020;95;6129;77;3;15
25/06/2020;104;6233;75;0;29
26/06/2020;121;6354;79;15;27
27/06/2020;105;6459;84;0;21
28/06/2020;127;6586;104;2;21
29/06/2020;112;6698;99;0;13
30/06/2020;95;6793;79;5;11
01/07/2020;132;6925;114;1;17
02/07/2020;129;7054;96;0;33
03/07/2020;110;7164;80;1;29
04/07/2020;108;7272;86;0;22
05/07/2020;128;7400;92;2;34
06/07/2020;78;7478;52;0;26
07/07/2020;69;7547;43;3;23
